1,Authentication,1.1,As a user; I want to authenticate using my Google .,M
,,1.2,As a user; I want to authenticate using my GitHub account.,M
,,1.3,As a user; I want to stay authenticated across multiple devices so that I can access my account anywhere.,S
,,1.4,As a user; I want to log out from my account .,M
2,Explore Landing Page,2.1,As a user; I want to explore the landing page so that I can understand the platform's features and benefits.,M
3,Manage Projects,3.1,As a user; I want to create a new project so that I can organize my diagrams.,M
,,3.2,As a user; I want to view my projects.,M
,,3.3,As a user; I want to update project details so that I can keep information current.,M
,,3.4,As a user; I want to delete a project.,M
,,3.5,As a user; I want to download project diagrams as images in a compressed ZIP file.,S
,,3.6,As a user; I want to share my project with others.,S
4,Manage Diagrams,4.1,As a user; I want to create a new diagram.,M
,,4.2,As a user; I want to view my diagram.,M
,,4.3,As a user; I want to update diagram details.,M
,,4.4,As a user; I want to delete a diagram.,M
5,Manage Workspace,5.1,As a user; I want to edit diagram code in an interactive editor.,M
,,5.2,As a user; I want to chat with an AI model to edit diagram code.,C
,,5.3,As an AI system; I need to respond to user requests and help edit diagram code.,C
,,5.4,As a PlantUML Server; I need to render diagram code into diagram images.,M
6,Community Interaction,6.1,As a user; I want to explore the community.,S
,,6.2,As a user; I want to comment on projects.,C
,,6.3,As a user; I want to like/unlike projects.,C
,,6.4,As a user; I want to share projects.,C
,,6.5,As a user; I want to update my comments.,C
,,6.6,As a user; I want to delete my comments.,C
,,6.7,As a user; I want to like/unlike comments.,C
,,6.8,As a user; I want to copy community projects to my workspace.,S
7,Profile Management,7.1,As a user; I want to edit my profile.,S
,,7.2,As a user; I want to view public projects on profiles.,S
